input : 1.000000 ^ 1.000000 => output = 0.058190 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.239777 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.391897 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.691653 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.705452 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.238904 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.376921 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.694808 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.708318 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.720567 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.243531 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.384752 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.231125 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.704215 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.333686 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.701743 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.714618 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.237244 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.399774 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.701260 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.321835 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.224158 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.695529 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.708957 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.721172 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.236928 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.727988 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.395910 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.718948 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.336670 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.715027 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.233014 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.229310 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.308730 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.704790 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.717363 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.230457 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.332918 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.709307 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.721487 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.732557 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.235363 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.738555 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.331350 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.733997 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.318308 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.730530 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.232742 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.736767 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.746509 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.308667 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.232018 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.739204 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.748744 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.318926 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.230884 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.227260 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.269843 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.726364 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.737000 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.228387 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.322158 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.728720 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.739176 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.227859 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.744893 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.753960 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.285263 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.258451 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.742670 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.227474 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.748125 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.301464 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.744895 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.753961 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.230939 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.758524 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.766522 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.299098 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.229390 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.758995 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.229751 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.763230 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.303946 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.224274 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.755500 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.283596 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.753087 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.761495 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.769264 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.266268 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.226667 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.264109 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.218719 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.750895 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.759497 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.767414 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.774713 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.288182 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.225312 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.251633 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.759110 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.767042 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.225255 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.770885 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.225399 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.774483 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.300706 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.211856 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.763883 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.220528 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.768065 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.220864 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.771957 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.778917 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.255277 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.777175 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.223545 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.780432 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.265642 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.277550 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.767888 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.775176 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.221141 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.778609 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.785091 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.224368 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.264162 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.779060 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.247713 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.215840 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.774401 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.242316 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.773479 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.215712 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.777139 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.215929 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.780597 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.786939 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.239613 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.785644 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.266856 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.214004 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.779588 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.214200 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.782926 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.789105 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.278212 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.785309 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.791321 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.241500 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.214813 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.786604 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.266260 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.210425 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.780548 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.227963 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.780029 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.210483 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.783445 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.210667 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.786638 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.220080 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.786294 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.257616 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.206509 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.780814 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.787136 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.209829 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.790136 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.795848 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.215711 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.795349 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.800693 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.215097 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.292727 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.207015 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.222915 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.782972 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.789174 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.215166 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.203998 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.786095 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.792053 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.797642 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.802839 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.238094 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.208836 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.218698 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.791803 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.205749 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.794639 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.205773 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.197208 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.792216 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.797793 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.802983 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.187659 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.206165 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.800776 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.805792 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.810480 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.211013 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.215287 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.806585 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.207581 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.207448 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.803209 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.189460 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.803587 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.204681 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.805784 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.810491 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.814925 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.209214 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.186692 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.812272 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.208337 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.203531 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.808816 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.813341 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.223738 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.202427 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.809061 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.190028 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.809127 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.813642 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.204530 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.201832 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.210078 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.807417 , expected : 1.000000
